time,low,high,open,close,volume,symbol
1483246740,968.1,968.11,968.11,968.1,2.31061074,BTC-USD
1483246680,967.98,968.11,967.98,968.1,1.29459,BTC-USD
1483246620,967.65,967.72,967.72,967.66,2.3753,BTC-USD
1483246560,968,968,968,968,0.22739,BTC-USD
1483246500,967.67,968,968,967.67,2.73806,BTC-USD
1483246440,967.99,968,967.99,968,0.29695,BTC-USD
1483246380,967.73,968.02,968.02,967.73,0.0637,BTC-USD
1483246320,967.7,968.03,967.78,968.03,1.70218,BTC-USD
1483246260,967.29,968.04,967.69,968.04,3.10598,BTC-USD
1483246200,967.69,967.87,967.69,967.87,0.08473,BTC-USD
1483246140,967.69,967.84,967.7,967.84,0.67083,BTC-USD
1483246080,967.69,967.71,967.71,967.69,0.56549,BTC-USD
1483246020,967.39,967.71,967.39,967.71,0.98143,BTC-USD
1483245960,967.71,967.71,967.71,967.71,2.00497,BTC-USD
1483245900,967.38,967.7,967.38,967.7,3.16049343,BTC-USD
1483245780,966.97,967.36,966.97,967.36,0.25763589,BTC-USD
1483245720,966.81,966.93,966.93,966.81,0.93109,BTC-USD
1483245660,967.16,967.3,967.16,967.3,1.23376379,BTC-USD
1483245600,966.81,967.17,967.17,966.81,0.02846,BTC-USD
1483245540,966.64,967.07,967.07,966.64,0.64701,BTC-USD
1483245480,967.39,967.66,967.66,967.39,0.13424263,BTC-USD
1483245420,967.67,967.72,967.67,967.67,0.14985589,BTC-USD
1483245360,966.71,967.71,967.71,966.71,1.5379,BTC-USD
1483245300,967.04,967.69,967.69,967.04,0.34637217,BTC-USD
1483245240,967.39,967.4,967.4,967.39,0.32585,BTC-USD
1483245180,967.57,967.58,967.57,967.58,0.69822,BTC-USD
1483245120,967,967.39,967.39,967,3.03479,BTC-USD
1483245060,967.03,967.23,967.22,967.03,2.30527,BTC-USD
