sequence,total,buy,short,hold
"[0, 1, 2, 2, 3]",40,40,0,0
"[0, 1, 1, 2, 4]",44,44,0,0
"[0, 0, 1, 3, 4]",46,46,0,0
"[0, 1, 3, 4, 4]",34,34,0,0
"[0, 1, 3, 3, 4]",32,32,0,0
"[0, 1, 2, 2, 4]",39,39,0,0
"[0, 1, 2, 3, 4]",89,89,0,0
"[0, 1, 4, 5, 5]",35,0,26,9
"[0, 1, 2, 3, 3]",36,36,0,0
"[0, 0, 1, 2, 4]",43,43,0,0
"[5, 4, 3, 2, 1]",50,0,50,0
"[0, 0, 2, 3, 4]",32,32,0,0
"[0, 0, 1, 2, 3]",41,41,0,0
"[0, 1, 3, 5, 5]",51,0,36,15
"[5, 4, 3, 3, 1]",32,0,32,0
"[0, 1, 4, 5, 5]",35,0,26,9
"[0, 1, 3, 5, 5]",51,0,36,15
"[0, 1, 3, 5, 5]",51,0,36,15
"[0, 1, 4, 5, 5]",35,0,26,9
"[0, 1, 4, 5, 5]",35,0,26,9
"[0, 1, 3, 5, 5]",51,0,36,15
"[0, 1, 4, 5, 5]",35,0,26,9
"[0, 1, 3, 5, 5]",51,0,36,15
